ay,A,B,cA,cB,r,S_raw,w_star,S_star,err_star,z_pred,_source
0.7056,0.2160046704748911,0.266263445059316,3.629529527308263,2.755678890796399,0.2754391994851091,0.2411340577671035,0.7016375817138224,0.231,2.775557561562892e-17,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2155696178398942,0.2670945275441909,3.638872629735376,2.743992844759987,0.282259814305253,0.2413320726920425,0.7005257796925543,0.231,2.775557561562892e-17,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2161644546415425,0.2653239043094585,3.626107477560372,2.7689781574812717,0.269681396774625,0.2407441794755005,0.6982157965828507,0.231,0.0,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2169419179683061,0.2655608241576117,3.6095287133309744,2.765615667040162,0.266313938919607,0.2412513710629589,0.7108515362942048,0.231,0.0,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2156957201689239,0.2663621889249247,3.636160602615764,2.754286612661282,0.2777698791753742,0.2410289545469243,0.6979406655557875,0.231,0.0,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2147445458899572,0.2682743318883108,3.656695683961331,2.727527687651924,0.2931643310706526,0.241509438889134,0.6963288044801315,0.231,0.0,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2160162582853719,0.2667990387737572,3.629281184377025,2.7481394408170607,0.2781104921071244,0.2414076485295646,0.7049444404082,0.2309999999999999,-2.775557561562892e-17,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2132968516627328,0.2694866698821703,3.688301736310718,2.7107586821909866,0.3079375658109651,0.2413917607724516,0.684940281028651,0.2309999999999999,-2.775557561562892e-17,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2151533301165105,0.2675326095364315,3.647848115845928,2.737862093644416,0.2869600783882484,0.241342969826471,0.6974630033290863,0.231,2.775557561562892e-17,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2133955904217156,0.2696506513207661,3.686132445491421,2.7085020751922384,0.3081820483467158,0.2415231208712409,0.6870608742229354,0.231,2.775557561562892e-17,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2166717150170979,0.2658527434788044,3.6152770790644655,2.761480836776571,0.2694014288080464,0.2412622292479511,0.7086623555654507,0.231,0.0,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2163114646598762,0.2653201289984955,3.622963473398786,2.76903178727789,0.2687946061771127,0.2408157968291858,0.7002869688789071,0.231,0.0,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2180703405264351,0.2649918083167001,3.58567633537848,2.7737015583699405,0.256764382465334,0.2415310744215676,0.7244404303088009,0.231,0.0,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2152729732609463,0.267244715320185,3.645264962210723,2.741888773373509,0.2847820385163495,0.2412588442905657,0.6973927346686284,0.2309999999999999,-2.775557561562892e-17,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
0.7056,0.2170741852002757,0.2653003599076569,3.606720044013458,2.769312640013266,0.2641996392679693,0.2411872725539663,0.7112394900856017,0.231,0.0,-2.088574137299183,C:\Users\anthoni.newland\OneDrive - ZINUS\Desktop\New Results\ew_sweep_ax2p556_ay0p7056\cycle_rows_r.csv
