ay,A,B,S_raw,w_star,S_star,r,err_star
0.8515,0.2479050959810759,0.2332580430533784,0.2405815695172272,0.0,0.2332580430533784,-0.0801884687532057,0.0022580430533784
0.8515,0.2497335384765545,0.2311290174569983,0.2404312779667764,0.0,0.2311290174569983,-0.1019131885518378,0.0001290174569983
0.8515,0.2487462745324342,0.2320789710822506,0.2404126228073424,0.0,0.2320789710822506,-0.0912991488991554,0.0010789710822505
0.8515,0.2486920516382343,0.2322431705894563,0.2404676111138453,0.0,0.2322431705894563,-0.0900878546689514,0.0012431705894563
0.8515,0.2493377216810741,0.2316021260268708,0.2404699238539724,0.0,0.2316021260268708,-0.0971391735109081,0.0006021260268707
0.8515,0.2493907436507866,0.2319397314059918,0.2406652375283892,0.0,0.2319397314059918,-0.0955263448321754,0.0009397314059918
0.8515,0.2498385699983977,0.230808354877766,0.2403234624380818,0.010070570459617,0.231,-0.1042789841748133,0.0
0.8515,0.2501628588299231,0.2297613927045573,0.2399621257672402,0.0607116806131225,0.231,-0.1119151022913054,0.0
0.8515,0.2477047438825397,0.2332117508294881,0.2404582473560139,0.0,0.2332117508294881,-0.079372457182151,0.0022117508294881
0.8515,0.2492373206301143,0.2315905138675223,0.2404139172488184,0.0,0.2315905138675223,-0.0966679321843992,0.0005905138675223
0.8515,0.2482083829137452,0.231761488093013,0.2399849355033791,0.0,0.231761488093013,-0.0902009394585532,0.000761488093013
0.8515,0.2502820119146679,0.2304667172408676,0.2403743645777677,0.0269126837582406,0.231,-0.1085689563509115,0.0
0.8515,0.2496353078665419,0.2315337220054964,0.2405845149360192,0.0,0.2315337220054964,-0.0991128911599166,0.0005337220054964
0.8515,0.246867904579356,0.2340279954840068,0.2404479500316814,0.0,0.2340279954840068,-0.0703176307792861,0.0030279954840068
0.8515,0.2504987896121661,0.2302861460484334,0.2403924678302997,0.0353171988273456,0.231,-0.1107423347834652,0.0
0.8515,0.2491238211215196,0.2319365928993144,0.240530207010417,0.0,0.2319365928993144,-0.0941175464960542,0.0009365928993144
0.8515,0.2498085398372947,0.2313883652005397,0.2405984525189172,0.0,0.2313883652005397,-0.1008546118419071,0.0003883652005396
0.8515,0.2461315085033757,0.2343077649250536,0.2402196367142146,0.0,0.2343077649250536,-0.0647928633697678,0.0033077649250535
0.8515,0.2465001881622545,0.2339446566816906,0.2402224224219726,0.0,0.2339446566816906,-0.0688038278853007,0.0029446566816906
0.8515,0.250428074548816,0.2305584274051657,0.2404932509769909,0.0222234744100817,0.231,-0.1088301841084171,0.0
0.8515,0.2499669397421009,0.2310244143315369,0.2404956770368189,0.0,0.2310244143315369,-0.1037472083455999,2.441433153688166e-05
0.8415,0.2478357502816437,0.2334013892031857,0.2406185697424147,0.0,0.2334013892031857,-0.0790151811398673,0.0024013892031857
0.8415,0.2478729241042444,0.2331405698397925,0.2405067469720185,0.0,0.2331405698397925,-0.0806728550638022,0.0021405698397924
0.8415,0.2476899596439354,0.2324017096893811,0.2400458346666582,0.0,0.2324017096893811,-0.0838284298388249,0.001401709689381
0.8415,0.2462943860035847,0.2345427339445482,0.2404185599740665,0.0,0.2345427339445482,-0.0643612352080316,0.0035427339445482
0.8415,0.2437245928910759,0.2367431467563042,0.24023386982369,0.0,0.2367431467563042,-0.0382520913256418,0.0057431467563041
0.8415,0.2451043927844063,0.2364515362493174,0.2407779645168619,0.0,0.2364515362493174,-0.0473380738934328,0.0054515362493174
0.8415,0.2458924644419378,0.2349458890065433,0.2404191767242406,0.0,0.2349458890065433,-0.0599506625693906,0.0039458890065433
0.8415,0.244990222647597,0.2360049595041216,0.2404975910758593,0.0,0.2360049595041216,-0.0491960808818998,0.0050049595041215
0.8415,0.2468824903894179,0.2333184819746781,0.240100486182048,0.0,0.2333184819746781,-0.0743582938579372,0.0023184819746781
0.8415,0.2448201252152816,0.2352246590435776,0.2400223921294296,0.0,0.2352246590435776,-0.0526088578274603,0.0042246590435775
0.8415,0.2462804856877688,0.2342249258893569,0.2402527057885629,0.0,0.2342249258893569,-0.0660573845306349,0.0032249258893569
0.8415,0.24601162514596,0.2348253348779617,0.2404184800119608,0.0,0.2348253348779617,-0.0612639878152856,0.0038253348779616
0.8415,0.246419901098138,0.2333763215077814,0.2398981113029597,0.0,0.2333763215077814,-0.0715454566727893,0.0023763215077814
0.8415,0.2471034823584514,0.2337783618889841,0.2404409221237178,0.0,0.2337783618889841,-0.0729773918098195,0.0027783618889841
0.8415,0.2460970316655295,0.234296659854458,0.2401968457599937,0.0,0.234296659854458,-0.0646689460705225,0.0032966598544579
0.8415,0.2453785368872395,0.2355469959229354,0.2404627664050875,0.0,0.2355469959229354,-0.0538359156615577,0.0045469959229354
0.8415,0.2463214732459993,0.2348213210785891,0.2405713971622942,0.0,0.2348213210785891,-0.0629560492863126,0.003821321078589
