alpha,dt,mu,beta,kappa,mscale,c0,ein_rms,ein_rel,mom_rms_abs,mom_rel,mom_rms_abs_src,mom_rel_src,score
4.15,0.17,0.004,14.552246943534945,1.0000000000000004,0.008411536362457882,-105.7172031307681,259.74042222825005,0.9144940295026961,0.937750315391548,0.9999999999989336,0.937750315391548,0.9999999999989336,1.3551012249990573
4.15,0.1,0.005,14.552246943534945,1.0000000000000004,0.008411536362457882,-105.7172031307681,259.74042222825005,0.9144940295026961,1.1720494295571937,0.9999999999991467,1.1720494295571937,0.9999999999991467,1.3551012249992143
4.15,0.17,0.005,14.552246943534945,1.0000000000000004,0.008411536362457882,-105.7172031307681,259.74042222825005,0.9144940295026961,1.172316625794272,0.9999999999991469,1.172316625794272,0.9999999999991469,1.3551012249992145
4.15,0.13,0.005,14.552246943534945,1.0000000000000004,0.008411536362457882,-105.7172031307681,259.74042222825005,0.9144940295026961,1.1721649718448581,0.9999999999991468,1.1721649718448581,0.9999999999991468,1.3551012249992145
4.15,0.15,0.005,14.552246943534945,1.0000000000000004,0.008411536362457882,-105.7172031307681,259.74042222825005,0.9144940295026961,1.172241140032713,0.9999999999991469,1.172241140032713,0.9999999999991469,1.3551012249992145
4.15,0.13,0.006,14.552246943534945,1.0000000000000004,0.008411536362457882,-105.7172031307681,259.74042222825005,0.9144940295026961,1.4067166286395003,0.999999999999289,1.4067166286395003,0.999999999999289,1.3551012249993193
4.15,0.1,0.006,14.552246943534945,1.0000000000000004,0.008411536362457882,-105.7172031307681,259.74042222825005,0.9144940295026961,1.406551956420091,0.999999999999289,1.406551956420091,0.999999999999289,1.3551012249993193
4.15,0.15,0.006,14.552246943534945,1.0000000000000004,0.008411536362457882,-105.7172031307681,259.74042222825005,0.9144940295026961,1.4068249370973986,0.9999999999992891,1.4068249370973986,0.9999999999992891,1.3551012249993195
4.15,0.17,0.006,14.552246943534945,1.0000000000000004,0.008411536362457882,-105.7172031307681,259.74042222825005,0.9144940295026961,1.4069320785836001,0.9999999999992891,1.4069320785836001,0.9999999999992891,1.3551012249993195
4.5,0.1,0.003,14.874532347208515,1.0000000000000004,0.009047094472214327,-114.6053047796274,279.9833818614221,0.9162695194545606,0.7659246792607677,0.9999999999986944,0.7659246792607677,0.9999999999986944,1.3563000524511086
4.5,0.13,0.003,14.874532347208515,1.0000000000000004,0.009047094472214327,-114.6053047796274,279.9833818614221,0.9162695194545606,0.7659747762228968,0.9999999999986945,0.7659747762228968,0.9999999999986945,1.3563000524511089
4.5,0.17,0.003,14.874532347208515,1.0000000000000004,0.009047094472214327,-114.6053047796274,279.9833818614221,0.9162695194545606,0.7660408951774321,0.9999999999986946,0.7660408951774321,0.9999999999986946,1.3563000524511089
4.5,0.15,0.003,14.874532347208515,1.0000000000000004,0.009047094472214327,-114.6053047796274,279.9833818614221,0.9162695194545606,0.7660079320477948,0.9999999999986946,0.7660079320477948,0.9999999999986946,1.3563000524511089
4.5,0.13,0.004,14.874532347208515,1.0000000000000004,0.009047094472214327,-114.6053047796274,279.9833818614221,0.9162695194545606,1.0213951604793365,0.9999999999990209,1.0213951604793365,0.9999999999990209,1.3563000524513493
4.5,0.15,0.004,14.874532347208515,1.0000000000000004,0.009047094472214327,-114.6053047796274,279.9833818614221,0.9162695194545606,1.021453307303673,0.9999999999990209,1.021453307303673,0.9999999999990209,1.3563000524513493
4.5,0.1,0.004,14.874532347208515,1.0000000000000004,0.009047094472214327,-114.6053047796274,279.9833818614221,0.9162695194545606,1.0213070874833654,0.9999999999990208,1.0213070874833654,0.9999999999990208,1.3563000524513493
4.5,0.17,0.004,14.874532347208515,1.0000000000000004,0.009047094472214327,-114.6053047796274,279.9833818614221,0.9162695194545606,1.0215110025252778,0.999999999999021,1.0215110025252778,0.999999999999021,1.3563000524513495
4.5,0.1,0.005,14.874532347208515,1.0000000000000004,0.009047094472214327,-114.6053047796274,279.9833818614221,0.9162695194545606,1.2767256911116485,0.9999999999992166,1.2767256911116485,0.9999999999992166,1.3563000524514937
4.5,0.17,0.005,14.874532347208515,1.0000000000000004,0.009047094472214327,-114.6053047796274,279.9833818614221,0.9162695194545606,1.277040147282942,0.9999999999992168,1.277040147282942,0.9999999999992168,1.3563000524514939
4.5,0.13,0.005,14.874532347208515,1.0000000000000004,0.009047094472214327,-114.6053047796274,279.9833818614221,0.9162695194545606,1.2768617744575268,0.9999999999992167,1.2768617744575268,0.9999999999992167,1.3563000524514939
4.5,0.15,0.005,14.874532347208515,1.0000000000000004,0.009047094472214327,-114.6053047796274,279.9833818614221,0.9162695194545606,1.2769513969141615,0.9999999999992168,1.2769513969141615,0.9999999999992168,1.3563000524514939
4.5,0.1,0.006,14.874532347208515,1.0000000000000004,0.009047094472214327,-114.6053047796274,279.9833818614221,0.9162695194545606,1.5321799609555096,0.9999999999993473,1.5321799609555096,0.9999999999993473,1.35630005245159
4.5,0.13,0.006,14.874532347208515,1.0000000000000004,0.009047094472214327,-114.6053047796274,279.9833818614221,0.9162695194545606,1.5323737359530554,0.9999999999993474,1.5323737359530554,0.9999999999993474,1.3563000524515902
4.5,0.15,0.006,14.874532347208515,1.0000000000000004,0.009047094472214327,-114.6053047796274,279.9833818614221,0.9162695194545606,1.532501036986202,0.9999999999993474,1.532501036986202,0.9999999999993474,1.3563000524515902
4.5,0.17,0.006,14.874532347208515,1.0000000000000004,0.009047094472214327,-114.6053047796274,279.9833818614221,0.9162695194545606,1.5326268480340988,0.9999999999993475,1.5326268480340988,0.9999999999993475,1.3563000524515902
